Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C11,C12,C2,C3,C4,C5,C6,C7,C8,C9",C_0402_1005Metric,C1525,10
100nF,C17,C_0402_1005Metric,C1525,1
10K,"R6,R7",R_0402_1005Metric,C25744,2
10k,R9,R_0402_1005Metric,C25744,1
10uF,"C13,C14",C_0402_1005Metric,C15525,2
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,1
1K,R5,R_0402_1005Metric,C11702,1
1k,"R10,R11",R_0402_1005Metric,C11702,2
1uF,"C1,C10",C_0402_1005Metric,C52923,2
2.4K,R8,R_0402_1005Metric,C25882,1
27,"R3,R4",R_0402_1005Metric,C25100,2
30pF,"C15,C16",C_0402_1005Metric,C1570,2
5.1K,"R1,R2",R_0402_1005Metric,C25905,2
LED,D1,LED_0603_1608Metric,C2286,1
LED,D2,LED_0603_1608Metric,C2290,1
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040,1
SELECT,SW8,SW_Push_SPST_NO_Alps_SKRK,C720477,1
SS14,"D3,D4,D5",D_SOD-123,C2480,3
START,SW9,SW_Push_SPST_NO_Alps_SKRK,C720477,1
SW_SPDT,SW12,SW_SPDT_Shouhan_MSK12C02,C431540,1
TP4056-42-ESOP8,U4,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,C16581,1
USB_C_Receptacle_USB2.0_14P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
W25Q128JVS,U3,SOIC-8_5.3x5.3mm_P1.27mm,C97521,1
XC6206P332MR,U5,SOT-23-3,C5446,1
reset_flash,SW1,SW_Push_SPST_NO_Alps_SKRK,C720477,1
reset_run,SW11,SW_Push_SPST_NO_Alps_SKRK,C720477,1
DPAD_DOWN,SW5,SW_PUSH_6mm,,1
DPAD_LEFT,SW3,SW_PUSH_6mm,,1
DPAD_UP,SW2,SW_PUSH_6mm,,1
DPAD_RIGHT,SW4,SW_PUSH_6mm,,1
BTN_B,SW7,SW_PUSH_6mm,,1
Conn_01x01,J4,TestPoint_Pad_2.0x2.0mm,,1
Conn_01x01,J3,TestPoint_Pad_2.0x2.0mm,,1
BTN_A,SW6,SW_PUSH_6mm,,1
Conn_01x08_Socket,J2,PinHeader_1x08_P2.54mm_Vertical,,1
